City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
420,Westport,US,82.9,light rain,41.1415,-73.3579,The Westport Inn
426,Alugan,PH,78.1,overcast clouds,12.2188,125.4808,JM Lodge
429,Alekseyevka,RU,84.22,light rain,50.6309,38.6903,Apartment on Ploshchad Pobedy
430,Mwene-Ditu,CD,78.15,overcast clouds,-7.0,23.45,Hôtel Kamas
431,La Asuncion,VE,84.25,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
433,Kavaratti,IN,80.65,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
436,Beoumi,CI,80.38,overcast clouds,7.6736,-5.5764,Hôtel le Goly
440,Marsh Harbour,BS,83.88,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
443,Brylivka,UA,73.71,overcast clouds,46.4248,33.1472,
445,Kupang,ID,74.14,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
446,Mut,TR,78.55,clear sky,36.6439,33.4389,Konak Otel
449,Abancay,PE,77.23,clear sky,-13.6339,-72.8814,Siball Hotel
450,Moose Factory,CA,75.2,clear sky,51.2585,-80.6094,Moosonee Lilypad
452,Gat,IL,82.81,clear sky,31.61,34.7642,OlusHome
456,Auki,SB,75.72,broken clouds,-8.7676,160.7034,Auki Motel
461,Dawei,MM,77.43,overcast clouds,14.0833,98.2,Hotel Dawei
462,Burla,IN,81.5,overcast clouds,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
465,Faya,SA,73.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
467,Srikakulam,IN,83.59,overcast clouds,18.3,83.9,Sriram residency
473,Suez,EG,82.96,clear sky,29.9737,32.5263,Green House
475,Bandarbeyla,SO,76.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
476,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
477,Bukama,CD,76.51,clear sky,-9.2,25.85,
478,Kanker,IN,76.59,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
479,Guerrero Negro,MX,78.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
480,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Uncle Junior Robert
483,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
485,Sucua,EC,84.94,scattered clouds,-2.4667,-78.1667,Hotel Orellana
487,Tabou,CI,76.78,few clouds,4.423,-7.3528,hotêl doufoulougou
492,Hakodate,JP,72.72,overcast clouds,41.7758,140.7367,Four Points by Sheraton Hakodate
498,Saint Cloud,US,75.61,overcast clouds,45.5608,-94.1625,Homewood Suites by Hilton St Cloud
503,Brazzaville,CG,81.57,clear sky,-4.2658,15.2832,Hotel Muesse
504,Freeport,US,79.88,moderate rain,40.6576,-73.5832,The Freeport Inn and Marina
506,Bengkulu,ID,76.41,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
507,Grafton,US,84.51,clear sky,42.207,-71.6856,The Grafton Inn
508,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
511,Boende,CD,76.41,broken clouds,-0.2167,20.8667,
514,San Policarpo,PH,78.33,overcast clouds,12.1791,125.5072,JM Lodge
522,Izumo,JP,78.75,heavy intensity rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
524,Wajima,JP,82.13,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
526,Ghugus,IN,82.71,overcast clouds,19.9333,79.1333,Rajiv Colony Tempo Club
527,Kropotkin,RU,75.56,light rain,45.4375,40.5756,Hotel Europe Kropotkin
528,Marinette,US,81.3,overcast clouds,45.1,-87.6307,AmericInn by Wyndham Menominee
529,Portland,US,74.52,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
530,Mbour,SN,84.29,scattered clouds,14.422,-16.9638,Tama Lodge
532,Luorong,CN,79.74,overcast clouds,24.4058,109.6086,荣立大酒店
535,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
541,Sechura,PE,77.41,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
545,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
546,Tura,IN,75.27,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
547,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
548,Manhattan,US,82.63,broken clouds,40.7834,-73.9662,The Excelsior Hotel
560,Luwuk,ID,75.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
563,Bonthe,SL,78.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
564,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
568,Narbonne,FR,74.57,scattered clouds,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
569,Natuba,BR,78.73,overcast clouds,-7.6414,-35.55,Pousada Recanto do Amanhecer
570,Constantine,DZ,83.61,few clouds,36.365,6.6147,Grand Hotel Cirta
575,Valentin Gomez Farias,MX,82.62,overcast clouds,28.2167,-106.5833,
576,Luklukan,PH,78.94,overcast clouds,14.3254,122.7124,GT's
580,Taos,US,84.54,clear sky,36.4072,-105.5731,El Monte Sagrado
585,Shelburne,CA,77.76,light rain,44.0787,-80.2041,The Retreat at the Farm
587,Verkhniy Mamon,RU,81.39,overcast clouds,50.1635,40.3832,Yaroton
590,Caceres,ES,81.55,clear sky,39.522,-6.3748,Ahc Hoteles
593,Fez,MA,80.85,clear sky,34.0372,-4.9998,Hotel Mounia Fès
594,Hamirpur,IN,84.06,overcast clouds,25.95,80.15,Bundalkhand kurara transport company
596,Mumford,GH,75.65,overcast clouds,5.2618,-0.759,Spanish Villa
602,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
603,Samarai,PG,77.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
604,Ternate,ID,79.12,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
607,Metro,ID,74.89,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
608,Mangrol,IN,80.76,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
609,Tubmanburg,LR,75.52,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
610,Takoradi,GH,76.75,overcast clouds,4.8845,-1.7554,Raybow International Hotel
611,Nanakuli,US,82.35,broken clouds,21.3906,-158.1547,Camp Pālehua
612,Bouna,CI,76.32,overcast clouds,9.2667,-3.0,Hotel Reserve
613,Sibolga,ID,75.74,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
614,Ajdabiya,LY,84.36,clear sky,30.7554,20.2263,Almadina Hotel
616,Shache,CN,75.7,overcast clouds,38.4167,77.2406,Delong Hotel
617,Shitanjing,CN,72.1,clear sky,39.2342,106.3439,
619,Ranong,TH,79.54,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
620,Marrakesh,MA,84.27,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
630,Rapar,IN,84.58,scattered clouds,23.5667,70.6333,Dharamshi Bapa’s Home
631,Jamuria,IN,83.07,overcast clouds,23.7,87.0833,Sunil Murmu ᱥᱩᱱᱤᱞ ᱢᱩᱨᱢᱩ
635,Palu,ID,74.44,light rain,-0.8917,119.8707,Hotel Santika Palu
636,Magoula,GR,84.61,clear sky,38.0833,23.5167,Elefsina Hotel
637,Tagusao,PH,80.06,overcast clouds,9.1924,117.8141,Toledo
639,Yagoua,CM,73.71,light rain,10.3411,15.2329,Sahel Hotel
640,Tucuman,AR,73.4,scattered clouds,-26.8241,-65.2226,HOTEL MIAMI
641,Yining,CN,77.43,overcast clouds,29.0361,114.5636,Xiushui Hotel
643,Itarema,BR,83.16,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
644,Hami,CN,82.8,overcast clouds,42.8,93.45,Laoyutang Resort
646,Ferme-Neuve,CA,74.98,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
648,Abu Samrah,SY,78.49,clear sky,35.3029,37.1841,
651,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
652,Khash,IR,82.92,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
655,Jurado,CO,82.29,light rain,7.1053,-77.7641,
656,Pundaguitan,PH,80.98,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
659,Gimli,CA,75.22,few clouds,50.6336,-96.9907,Lakeview Gimli Resort
663,Contai,IN,82.98,scattered clouds,21.7786,87.7536,PATHFINDER
666,Shingu,JP,82.9,overcast clouds,33.7333,135.9833,Shingu UI Hotel
668,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
669,Kudahuvadhoo,MV,82.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
672,Cabadiangan,PH,77.43,light rain,9.7531,122.4739,Kipot
677,Aguimes,ES,74.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
680,Korla,CN,81.7,overcast clouds,41.7597,86.1469,Gulisitan Hotel
687,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
692,Delvada,IN,80.04,overcast clouds,20.7667,71.0333,Hotel Shivam
696,Jablah,SY,79.09,few clouds,35.3614,35.9256,مدرسة سعد بن ابي وقاص الابتدائيه
697,Kukes,AL,76.91,clear sky,42.0769,20.4219,Hotel ''LUMA''
699,Rio Grande,BR,84.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
703,Monrovia,LR,80.37,few clouds,6.3005,-10.7969,Sunset Inn
704,Gamba,GA,72.61,clear sky,-2.65,10.0,
