City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Kota Belud,MY,6.351,116.4305,78.66,88,100,3.56,overcast clouds
80,Kodiak,US,57.79,-152.4072,60.31,72,75,4.61,light rain
81,East London,ZA,-33.0153,27.9116,71.51,35,100,19.04,overcast clouds
82,Victoria,HK,22.2855,114.1577,85.32,91,100,10.09,light rain
83,Upata,VE,8.0086,-62.3989,80.1,81,100,1.99,overcast clouds
84,Korostyshiv,UA,50.3172,29.0563,67.23,67,11,0.58,few clouds
85,Akyab,MM,20.15,92.9,81.18,85,100,3.02,overcast clouds
86,Lydenburg,ZA,-25.0978,30.4597,54.39,45,2,1.57,clear sky
87,Ciro Marina,IT,39.3732,17.126,81.1,72,0,11.01,clear sky
88,Nampula,MZ,-15.1165,39.2666,63.3,71,0,4.32,clear sky
89,Saint George,US,37.1041,-113.5841,102.67,15,1,1.99,clear sky
90,Fortuna,US,40.5982,-124.1573,64.65,94,90,8.05,overcast clouds
91,Sitka,US,57.0531,-135.33,60.69,72,90,4.61,overcast clouds
92,Hilo,US,19.7297,-155.09,78.53,74,90,8.05,overcast clouds
93,Zonguldak,TR,41.25,31.8333,64.89,91,100,0.54,overcast clouds
94,Bluff,NZ,-46.6,168.3333,35.8,63,79,13.94,broken clouds
95,Wairoa,NZ,-39.0333,177.3667,43.56,95,100,18.99,light rain
96,Padang,ID,-0.9492,100.3543,78.31,86,70,2.8,light rain
97,Chkalovsk,RU,56.7647,43.2433,78.39,61,100,7.72,light rain
98,Biak,ID,-0.9131,122.8766,74.48,87,100,5.61,overcast clouds
99,Saint-Philippe,RE,-21.3585,55.7679,69.35,84,18,6.42,light rain
100,Tuktoyaktuk,CA,69.4541,-133.0374,44.08,78,100,11.27,overcast clouds
101,Kavieng,PG,-2.5744,150.7967,81.12,76,98,10.07,overcast clouds
102,Birjand,IR,32.8663,59.2211,77.47,13,0,6.91,clear sky
103,Bredasdorp,ZA,-34.5322,20.0403,58.28,65,100,15.46,overcast clouds
104,Georgetown,MY,5.4112,100.3354,81.9,81,20,1.01,few clouds
105,Agbor,NG,6.2518,6.1934,72.41,97,100,6.76,light rain
106,Lompoc,US,34.6391,-120.4579,88.02,70,1,12.66,clear sky
107,Husavik,IS,66.0449,-17.3389,56.28,85,45,7.47,scattered clouds
108,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,13.8,broken clouds
109,Hammerfest,NO,70.6634,23.6821,70.25,43,0,11.5,clear sky
110,Peniche,PT,39.3558,-9.3811,71.08,77,0,15.73,clear sky
111,Mar Del Plata,AR,-38.0023,-57.5575,50.02,71,0,6.91,light rain
112,Gravdal,NO,68.1214,13.5031,62.49,72,75,17.27,light intensity shower rain
113,Svetlogorsk,BY,52.6333,29.7333,67.14,63,11,3.38,few clouds
114,Zhangye,CN,38.9342,100.4517,70.47,33,0,4.76,clear sky
115,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,100,21.56,light rain
116,Iglesias,IT,39.3114,8.535,79.63,54,100,1.41,overcast clouds
117,Esperance,AU,-33.8667,121.9,58.28,80,3,14.2,clear sky
118,Aquiraz,BR,-3.9014,-38.3911,84.29,65,5,14.34,clear sky
119,Talara,PE,-4.5772,-81.2719,75.96,60,0,17.27,clear sky
120,Ayagoz,KZ,47.9714,80.4392,69.03,45,100,8.12,overcast clouds
121,Trapani,IT,37.8333,12.6667,85.53,69,17,4.56,few clouds
122,Nikolskoye,RU,59.7035,30.7861,66.09,94,100,4.47,overcast clouds
123,Forest Hills,US,42.9595,-85.4898,89.37,70,90,9.22,overcast clouds
124,Klyuchi,RU,52.2667,79.1667,65.37,76,100,8.59,light rain
125,Dwarka,IN,22.2394,68.9678,81.73,74,84,12.64,broken clouds
126,Provideniya,RU,64.3833,-173.3,46.51,76,90,8.95,overcast clouds
127,Glace Bay,CA,46.1969,-59.957,73.78,85,100,4.0,overcast clouds
128,Sinnar,SD,13.5691,33.5672,76.46,80,100,6.98,overcast clouds
129,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,20,23.02,few clouds
130,Beaufort,MY,5.3473,115.7455,75.96,89,100,2.35,overcast clouds
131,Avarua,CK,-21.2078,-159.775,73.45,78,90,2.3,overcast clouds
132,Chuy,UY,-33.6971,-53.4616,69.89,70,100,1.83,overcast clouds
133,Flin Flon,CA,54.7682,-101.865,60.37,92,100,5.84,overcast clouds
134,Tautira,PF,-17.7333,-149.15,80.62,76,40,9.51,scattered clouds
135,Walvis Bay,NA,-22.9575,14.5053,57.09,80,29,11.72,scattered clouds
136,Itimadpur,IN,27.25,78.2,85.59,76,100,6.55,light rain
137,Qaanaaq,GL,77.484,-69.3632,39.88,64,23,2.86,few clouds
138,Dikson,RU,73.5069,80.5464,46.08,79,0,5.19,clear sky
139,Strezhevoy,RU,60.7333,77.5889,64.38,69,100,4.92,overcast clouds
140,Olinda,BR,-8.0089,-34.8553,78.53,78,75,13.8,broken clouds
141,Grand Gaube,MU,-20.0064,57.6608,69.39,90,100,5.01,light rain
142,Kingston,JM,17.997,-76.7936,88.75,69,40,4.0,scattered clouds
143,Vardo,NO,70.3705,31.1107,59.2,72,0,13.8,clear sky
144,Itamaraca,BR,-7.7478,-34.8256,81.28,75,34,12.59,scattered clouds
145,Huzhou,CN,30.8703,120.0933,76.33,88,100,3.8,overcast clouds
146,Khatanga,RU,71.9667,102.5,54.37,61,100,13.06,overcast clouds
147,Harer,ET,9.3094,42.1258,62.67,76,27,2.1,light rain
148,Lebu,CL,-37.6167,-73.65,50.11,66,11,9.17,few clouds
149,Kahului,US,20.8947,-156.47,82.42,63,20,13.8,few clouds
150,Pimentel,PE,-6.8367,-79.9342,71.89,75,0,8.01,clear sky
151,Aleksandrov Gay,RU,50.147,48.5704,85.03,27,99,14.58,overcast clouds
152,Coruripe,BR,-10.1256,-36.1756,75.72,71,49,9.78,scattered clouds
153,Roma,US,43.2128,-75.4557,87.12,69,40,0.0,scattered clouds
154,Carnarvon,AU,-24.8667,113.6333,59.07,81,1,4.61,clear sky
155,Aykhal,RU,66.0,111.5,48.13,84,1,4.07,clear sky
156,Thinadhoo,MV,0.5333,72.9333,81.75,74,98,4.92,overcast clouds
157,Telde,ES,27.9924,-15.4192,77.22,53,20,21.85,few clouds
158,Vanimo,PG,-2.6741,141.3028,75.9,90,98,5.46,light rain
159,Sorong,ID,-0.8833,131.25,77.22,87,100,5.14,overcast clouds
160,Charlestown,AU,-32.95,151.6667,56.73,82,100,1.99,overcast clouds
161,Albion,US,42.2431,-84.753,87.98,68,40,11.5,scattered clouds
162,Kirundo,BI,-2.5833,30.1667,77.77,48,70,3.83,broken clouds
163,Vao,NC,-22.6667,167.4833,67.48,59,38,17.92,scattered clouds
164,Kodinsk,RU,58.6881,99.1844,59.49,64,98,3.76,overcast clouds
165,Opuwo,NA,-18.0607,13.84,67.37,17,7,5.59,clear sky
166,San Ramon,US,37.7799,-121.978,88.32,49,1,8.99,smoke
167,Jinchang,CN,38.4953,102.1739,73.8,22,28,4.99,scattered clouds
168,Ilulissat,GL,69.2167,-51.1,44.62,93,75,8.05,light intensity drizzle
169,Moindou,NC,-21.6924,165.677,60.75,60,84,12.53,broken clouds
170,Karaj,IR,35.8355,51.0103,88.32,16,40,4.61,scattered clouds
171,Mahebourg,MU,-20.4081,57.7,69.26,88,100,21.45,moderate rain
172,Port Elizabeth,ZA,-33.918,25.5701,59.09,80,100,11.81,overcast clouds
173,Bilma,NE,18.6853,12.9164,98.51,24,11,6.35,few clouds
174,Cidreira,BR,-30.1811,-50.2056,65.05,77,1,9.46,clear sky
175,Plettenberg Bay,ZA,-34.0527,23.3716,56.66,78,100,2.64,overcast clouds
176,Iqaluit,CA,63.7506,-68.5145,41.58,94,100,4.83,light rain
177,Parana,AR,-31.732,-60.5238,75.51,55,82,6.85,broken clouds
178,Nyimba,ZM,-14.5566,30.8149,70.45,29,0,11.36,clear sky
179,Salamanca,ES,40.8333,-6.0,77.0,20,0,7.2,clear sky
180,Kinshasa,CD,-4.3246,15.3215,79.7,44,4,5.28,clear sky
181,Umm Lajj,SA,25.0213,37.2685,92.68,43,0,1.16,clear sky
182,Caucaia,BR,-3.7361,-38.6531,84.15,69,75,17.27,broken clouds
183,Billings,US,45.7833,-108.5007,100.36,17,20,14.97,few clouds
184,Ust-Uda,RU,54.1742,103.0304,51.85,59,41,2.51,scattered clouds
185,Middelburg,ZA,-25.7751,29.4648,56.79,34,0,5.97,clear sky
186,Ponta Do Sol,PT,32.6667,-17.1,75.0,79,45,3.11,scattered clouds
187,Zhigansk,RU,66.7697,123.3711,58.71,39,26,9.53,scattered clouds
188,Ulagan,RU,50.6321,87.9563,52.97,83,56,1.5,broken clouds
189,Tuatapere,NZ,-46.1333,167.6833,35.82,85,100,5.95,overcast clouds
190,Nabire,ID,-3.3667,135.4833,74.59,93,91,4.43,overcast clouds
191,Nanortalik,GL,60.1432,-45.2371,44.37,84,27,14.36,scattered clouds
192,Moyale,KE,3.5167,39.0584,71.28,49,18,5.86,few clouds
193,Geraldton,AU,-28.7667,114.6,64.81,32,75,10.36,broken clouds
194,Labuhan,ID,-6.8844,112.2051,78.13,88,43,8.25,scattered clouds
195,Iskateley,RU,67.6803,53.1512,45.79,93,6,5.79,clear sky
196,Saint-Augustin,CA,51.226,-58.6502,68.95,35,9,3.89,clear sky
197,Asyut,EG,27.181,31.1837,93.78,17,0,9.51,clear sky
198,Sakaiminato,JP,35.55,133.2333,78.03,96,100,34.49,moderate rain
199,Santa Teresa,VE,10.2341,-66.6631,91.42,32,33,3.0,scattered clouds
200,Vaini,TO,-21.2,-175.2,60.96,100,75,0.0,broken clouds
201,Torbay,CA,47.6666,-52.7314,71.89,84,97,5.01,overcast clouds
202,Ciudad Bolivar,VE,8.1222,-63.5497,88.12,58,86,3.62,overcast clouds
203,Harper,LR,4.375,-7.7169,77.04,82,28,11.74,scattered clouds
204,Norman Wells,CA,65.282,-126.8329,51.78,60,100,7.54,overcast clouds
205,Celestun,MX,20.8667,-90.4,88.74,61,7,13.18,clear sky
206,Arlit,NE,18.7369,7.3853,95.9,23,100,18.59,overcast clouds
207,Halifax,CA,44.6453,-63.5724,76.68,78,100,4.0,overcast clouds
208,Ust-Omchug,RU,61.15,149.6333,47.21,80,1,2.91,clear sky
209,Caranavi,BO,-15.8167,-67.55,80.92,36,0,4.81,clear sky
210,Ornskoldsvik,SE,63.2909,18.7153,62.42,100,90,8.05,overcast clouds
211,Betong,TH,5.7743,101.0723,71.58,98,38,1.36,scattered clouds
212,Oranjemund,NA,-28.55,16.4333,58.5,71,100,9.53,overcast clouds
213,Marawi,PH,7.9986,124.2928,66.65,92,100,1.81,overcast clouds
214,Yiyang,CN,28.5892,112.3283,79.36,94,100,4.07,overcast clouds
215,Poso,ID,-1.3959,120.7524,76.46,88,94,4.27,overcast clouds
216,Calvinia,ZA,-31.4707,19.776,47.23,80,100,19.22,overcast clouds
217,Macapa,BR,0.0389,-51.0664,94.98,52,40,10.36,scattered clouds
218,Upernavik,GL,72.7868,-56.1549,42.19,85,100,5.61,overcast clouds
219,Coquimbo,CL,-29.9533,-71.3436,58.73,67,40,10.36,scattered clouds
220,San Cristobal,VE,7.7669,-72.225,77.18,86,97,2.73,overcast clouds
221,Dolores,AR,-36.3132,-57.6792,43.11,93,100,17.22,moderate rain
222,Awbari,LY,26.5921,12.7805,97.05,8,0,6.02,clear sky
223,Magadan,RU,59.5667,150.8,54.1,72,10,5.3,clear sky
224,Lagoa,PT,39.05,-27.9833,72.05,86,57,21.68,broken clouds
225,Yar-Sale,RU,66.8333,70.8333,54.16,65,99,17.49,overcast clouds
226,Atikokan,CA,48.7555,-91.6216,79.05,52,67,5.01,broken clouds
227,Sola,VU,-13.8833,167.55,75.38,89,100,21.34,heavy intensity rain
228,Bend,US,44.0582,-121.3153,73.33,31,1,5.01,clear sky
229,New Norfolk,AU,-42.7826,147.0587,42.3,85,28,3.0,scattered clouds
230,Chauk,MM,20.8833,94.8167,80.53,79,100,10.8,overcast clouds
